Month,Year,Autonomous Community,Province,Relation,Victim Age,Agressor Age,Previous Abuse Report,Living Together,Victims
May,2003,Galicia,Pontevedra,Partner,31-40 years,Unknown,Unknown,Yes,1
June,2003,Aragón,Zaragoza,Partner,31-40 years,Unknown,Unknown,Yes,1
June,2003,Principado de Asturias,Asturias,Partner,Unknown,Unknown,Unknown,Yes,1
June,2003,Castilla y León,Salamanca,Ex-partner,41-50 years,Unknown,Unknown,No,1
June,2003,Cataluña,Barcelona,Ex-partner,51-64 years,41-50 years,Unknown,No,1
June,2003,Cataluña,Lleida,Partner,65-74 years,65-74 years,Unknown,Yes,1
June,2003,Galicia,A Coruña,Partner,31-40 years,31-40 years,Unknown,Yes,1
June,2003,Región de Murcia,Murcia,Partner,31-40 years,Unknown,Unknown,Yes,1
June,2003,Ceuta,Ceuta,Partner,31-40 years,31-40 years,Unknown,Yes,1
July,2003,Islas Baleares,Islas Baleares,Partner,41-50 years,Unknown,Unknown,Yes,1
July,2003,Cantabria,Cantabria,Partner,31-40 years,31-40 years,Unknown,Yes,1
July,2003,Castilla - La Mancha,Toledo,Partner,21-30 years,Unknown,Unknown,Yes,1
July,2003,Cataluña,Barcelona,Partner,31-40 years,Unknown,Unknown,Yes,1
July,2003,Cataluña,Girona,Partner,Unknown,31-40 years,Unknown,Yes,1
July,2003,Comunidad Valenciana,Castellón,Partner,Unknown,Unknown,Unknown,Yes,1
July,2003,Galicia,Pontevedra,Ex-partner,31-40 years,Unknown,Unknown,No,1
July,2003,Comunidad de Madrid,Madrid,Partner,41-50 years,Unknown,Unknown,Yes,1
August,2003,Islas Baleares,Islas Baleares,Partner,51-64 years,51-64 years,Unknown,Yes,1
August,2003,Islas Baleares,Islas Baleares,Partner,51-64 years,Unknown,Unknown,Yes,1
August,2003,Canarias,Santa Cruz de Tenerife,Partner,31-40 years,31-40 years,Unknown,Yes,1
August,2003,Canarias,Santa Cruz de Tenerife,Partner,Unknown,Unknown,Unknown,Yes,1
August,2003,Castilla y León,Valladolid,Partner,65-74 years,Unknown,Unknown,Yes,1
August,2003,Cataluña,Barcelona,Ex-partner,31-40 years,Unknown,Unknown,No,1
August,2003,Comunidad Valenciana,Valencia,Ex-partner,18-20 years,Unknown,Unknown,No,1
August,2003,Comunidad de Madrid,Madrid,Partner,41-50 years,51-64 years,Unknown,Yes,1
September,2003,Andalucía,Jaén,Partner,>85 years,>85 years,Unknown,Yes,1
September,2003,Andalucía,Sevilla,Partner,41-50 years,41-50 years,Unknown,Yes,1
September,2003,Principado de Asturias,Asturias,Ex-partner,21-30 years,Unknown,Unknown,No,1
September,2003,Comunidad Valenciana,Valencia,Ex-partner,21-30 years,31-40 years,Unknown,No,1
October,2003,Extremadura,Badajoz,Partner,31-40 years,31-40 years,Unknown,Yes,1
October,2003,Región de Murcia,Murcia,Partner,21-30 years,Unknown,Unknown,Yes,1
November,2003,Andalucía,Cádiz,Ex-partner,21-30 years,Unknown,Unknown,No,1
November,2003,Andalucía,Cádiz,Partner,41-50 years,51-64 years,Unknown,Yes,1
November,2003,Andalucía,Córdoba,Partner,31-40 years,Unknown,Unknown,Yes,1
November,2003,Andalucía,Sevilla,Partner,31-40 years,41-50 years,Unknown,Yes,1
November,2003,Islas Baleares,Islas Baleares,Partner,31-40 years,Unknown,Unknown,Yes,1
November,2003,Canarias,Las Palmas,Ex-partner,41-50 years,51-64 years,Unknown,No,1
November,2003,Castilla y León,León,Ex-partner,51-64 years,Unknown,Unknown,No,1
November,2003,Castilla y León,Valladolid,Partner,41-50 years,41-50 years,Unknown,Yes,1
November,2003,Comunidad Valenciana,Valencia,Partner,41-50 years,51-64 years,Unknown,Yes,1
December,2003,Canarias,Las Palmas,Ex-partner,31-40 years,41-50 years,Unknown,No,1
December,2003,Comunidad de Madrid,Madrid,Partner,21-30 years,41-50 years,Unknown,Yes,1
December,2003,Comunidad de Madrid,Madrid,Partner,31-40 years,41-50 years,Unknown,Yes,1
January,2004,Islas Baleares,Islas Baleares,Ex-partner,31-40 years,41-50 years,Unknown,No,1
January,2004,Extremadura,Badajoz,Partner,75-84 years,75-84 years,Unknown,Yes,1
February,2004,Andalucía,Córdoba,Partner,21-30 years,21-30 years,Unknown,Yes,1
February,2004,Andalucía,Sevilla,Partner,75-84 years,Unknown,Unknown,Yes,1
February,2004,Islas Baleares,Islas Baleares,Partner,31-40 years,21-30 years,Unknown,Yes,1
February,2004,Comunidad de Madrid,Madrid,Partner,21-30 years,31-40 years,Unknown,Yes,1
February,2004,País Vasco,Vizcaya,Partner,31-40 years,31-40 years,Unknown,Yes,1
March,2004,Andalucía,Almería,Partner,21-30 years,31-40 years,Unknown,Yes,1
March,2004,Andalucía,Granada,Ex-partner,31-40 years,31-40 years,Unknown,No,1
March,2004,Andalucía,Granada,Partner,41-50 years,Unknown,Unknown,Yes,1
March,2004,Aragón,Zaragoza,Partner,21-30 years,21-30 years,Unknown,Yes,1
March,2004,Canarias,Santa Cruz de Tenerife,Partner,51-64 years,65-74 years,Unknown,Yes,1
March,2004,Cataluña,Barcelona,Partner,31-40 years,31-40 years,Unknown,Yes,1
April,2004,Andalucía,Córdoba,Partner,75-84 years,75-84 years,Unknown,Yes,1
April,2004,Andalucía,Málaga,Partner,21-30 years,31-40 years,Unknown,Yes,1
April,2004,Castilla - La Mancha,Guadalajara,Partner,Unknown,Unknown,Unknown,Yes,1
April,2004,Comunidad Valenciana,Valencia,Ex-partner,Unknown,41-50 years,Unknown,No,1
April,2004,Comunidad de Madrid,Madrid,Partner,41-50 years,41-50 years,Unknown,Yes,1
April,2004,Comunidad de Madrid,Madrid,Partner,51-64 years,Unknown,Unknown,Yes,1
May,2004,Andalucía,Cádiz,Partner,18-20 years,21-30 years,Unknown,No,1
May,2004,Andalucía,Córdoba,Ex-partner,18-20 years,21-30 years,Unknown,No,1
May,2004,Aragón,Zaragoza,Partner,51-64 years,65-74 years,Unknown,Yes,1
May,2004,Castilla y León,León,Partner,75-84 years,75-84 years,Unknown,Yes,1
May,2004,Castilla - La Mancha,Albacete,Partner,21-30 years,Unknown,Unknown,Yes,1
May,2004,Cataluña,Barcelona,Partner,31-40 years,Unknown,Unknown,Yes,1
May,2004,Cataluña,Tarragona,Partner,<16 years,18-20 years,Unknown,No,1
May,2004,Comunidad Valenciana,Valencia,Partner,51-64 years,51-64 years,Unknown,Yes,1
June,2004,Andalucía,Granada,Partner,41-50 years,Unknown,Unknown,Yes,1
June,2004,Andalucía,Granada,Partner,51-64 years,65-74 years,Unknown,Yes,1
June,2004,Comunidad Valenciana,Valencia,Ex-partner,18-20 years,21-30 years,Unknown,No,1
June,2004,Comunidad Valenciana,Valencia,Partner,65-74 years,65-74 years,Unknown,Yes,1
June,2004,Comunidad Valenciana,Valencia,Partner,65-74 years,Unknown,Unknown,Yes,1
June,2004,Comunidad Foral de Navarra,Navarra,Ex-partner,51-64 years,65-74 years,Unknown,No,1
July,2004,Andalucía,Almería,Ex-partner,31-40 years,41-50 years,Unknown,No,1
July,2004,Andalucía,Cádiz,Partner,31-40 years,31-40 years,Unknown,Yes,1
July,2004,Canarias,Las Palmas,Partner,31-40 years,Unknown,Unknown,Yes,1
July,2004,Cataluña,Barcelona,Ex-partner,41-50 years,41-50 years,Unknown,No,1
July,2004,Comunidad de Madrid,Madrid,Partner,65-74 years,75-84 years,Unknown,Yes,1
July,2004,Región de Murcia,Murcia,Partner,<16 years,18-20 years,Unknown,No,1
July,2004,Región de Murcia,Murcia,Partner,31-40 years,31-40 years,Unknown,Yes,1
August,2004,Andalucía,Cádiz,Ex-partner,41-50 years,Unknown,Unknown,No,1
August,2004,Cantabria,Cantabria,Partner,31-40 years,31-40 years,Unknown,Yes,1
August,2004,Castilla - La Mancha,Albacete,Ex-partner,31-40 years,41-50 years,Unknown,No,1
August,2004,Cataluña,Barcelona,Partner,51-64 years,51-64 years,Unknown,Yes,1
August,2004,Comunidad Valenciana,Valencia,Partner,31-40 years,Unknown,Unknown,Yes,1
August,2004,Comunidad de Madrid,Madrid,Partner,21-30 years,31-40 years,Unknown,No,1
September,2004,Andalucía,Sevilla,Partner,75-84 years,75-84 years,Unknown,Yes,1
September,2004,Cantabria,Cantabria,Ex-partner,31-40 years,31-40 years,Unknown,No,1
September,2004,Castilla y León,León,Partner,31-40 years,31-40 years,Unknown,Yes,1
September,2004,Cataluña,Barcelona,Ex-partner,Unknown,Unknown,Unknown,No,1
September,2004,Cataluña,Barcelona,Partner,18-20 years,21-30 years,Unknown,Yes,1
September,2004,Cataluña,Tarragona,Partner,>85 years,>85 years,Unknown,Yes,1
September,2004,País Vasco,Vizcaya,Ex-partner,21-30 years,21-30 years,Unknown,No,1
October,2004,Andalucía,Córdoba,Ex-partner,31-40 years,Unknown,Unknown,No,1
October,2004,Andalucía,Huelva,Partner,31-40 years,21-30 years,Unknown,No,1
October,2004,Andalucía,Sevilla,Partner,51-64 years,51-64 years,Unknown,Yes,1
October,2004,Cataluña,Tarragona,Partner,<16 years,31-40 years,Unknown,No,1
October,2004,Comunidad Valenciana,Valencia,Partner,41-50 years,21-30 years,Unknown,Yes,1
October,2004,Región de Murcia,Murcia,Partner,41-50 years,41-50 years,Unknown,Yes,1
October,2004,La Rioja,La Rioja,Partner,65-74 years,65-74 years,Unknown,Yes,1
November,2004,Andalucía,Sevilla,Partner,18-20 years,21-30 years,Unknown,Yes,1
November,2004,Comunidad Valenciana,Alicante,Partner,51-64 years,Unknown,Unknown,Yes,1
November,2004,Comunidad Valenciana,Valencia,Ex-partner,41-50 years,Unknown,Unknown,No,1
November,2004,País Vasco,Vizcaya,Ex-partner,Unknown,16-17 years,Unknown,No,1
December,2004,Castilla - La Mancha,Toledo,Partner,Unknown,21-30 years,Unknown,Yes,1
December,2004,Cataluña,Barcelona,Partner,31-40 years,Unknown,Unknown,Yes,1
December,2004,Cataluña,Barcelona,Partner,51-64 years,Unknown,Unknown,Yes,1
December,2004,Extremadura,Cáceres,Partner,75-84 years,75-84 years,Unknown,Yes,1
December,2004,Galicia,A Coruña,Partner,31-40 years,Unknown,Unknown,No,1
December,2004,Galicia,Ourense,Partner,Unknown,Unknown,Unknown,Yes,1
December,2004,Región de Murcia,Murcia,Partner,Unknown,Unknown,Unknown,No,1
December,2004,País Vasco,Vizcaya,Partner,51-64 years,51-64 years,Unknown,Yes,1
January,2005,Andalucía,Málaga,Partner,21-30 years,21-30 years,Unknown,Yes,1
January,2005,Aragón,Huesca,Partner,75-84 years,Unknown,Unknown,Yes,1
January,2005,Islas Baleares,Islas Baleares,Partner,21-30 years,21-30 years,Unknown,No,1
January,2005,Castilla - La Mancha,Toledo,Ex-partner,51-64 years,51-64 years,Unknown,No,1
January,2005,Región de Murcia,Murcia,Ex-partner,41-50 years,Unknown,Unknown,No,1
January,2005,País Vasco,Vizcaya,Ex-partner,31-40 years,Unknown,Unknown,No,1
February,2005,Andalucía,Córdoba,Ex-partner,21-30 years,21-30 years,Unknown,No,1
February,2005,Andalucía,Granada,Partner,75-84 years,75-84 years,Unknown,Yes,1
February,2005,Comunidad Valenciana,Alicante,Ex-partner,21-30 years,21-30 years,Unknown,No,1
February,2005,Región de Murcia,Murcia,Partner,31-40 years,Unknown,Unknown,Yes,1
February,2005,Comunidad Foral de Navarra,Navarra,Ex-partner,21-30 years,21-30 years,Unknown,No,1
March,2005,Andalucía,Almería,Partner,18-20 years,21-30 years,Unknown,Yes,1
March,2005,Islas Baleares,Islas Baleares,Partner,65-74 years,65-74 years,Unknown,Yes,1
March,2005,Comunidad de Madrid,Madrid,Partner,Unknown,Unknown,Unknown,Yes,1
April,2005,Andalucía,Málaga,Partner,21-30 years,21-30 years,Unknown,Yes,1
April,2005,Canarias,Las Palmas,Partner,21-30 years,31-40 years,Unknown,Yes,1
April,2005,Castilla y León,Burgos,Partner,31-40 years,Unknown,Unknown,Yes,1
April,2005,Cataluña,Barcelona,Partner,51-64 years,Unknown,Unknown,Yes,1
April,2005,Comunidad Valenciana,Alicante,Partner,31-40 years,31-40 years,Unknown,Yes,1
May,2005,Aragón,Zaragoza,Partner,65-74 years,Unknown,Unknown,Yes,1
May,2005,Canarias,Santa Cruz de Tenerife,Ex-partner,41-50 years,41-50 years,Unknown,No,1
May,2005,Castilla y León,León,Partner,21-30 years,Unknown,Unknown,No,1
May,2005,Cataluña,Barcelona,Ex-partner,21-30 years,31-40 years,Unknown,No,1
June,2005,Canarias,Santa Cruz de Tenerife,Partner,41-50 years,41-50 years,Unknown,Yes,1
June,2005,Castilla - La Mancha,Ciudad Real,Partner,75-84 years,75-84 years,Unknown,Yes,1
June,2005,Cataluña,Barcelona,Partner,41-50 years,51-64 years,Unknown,Yes,1
June,2005,Comunidad Valenciana,Valencia,Partner,65-74 years,Unknown,Unknown,Yes,1
June,2005,Comunidad de Madrid,Madrid,Partner,31-40 years,31-40 years,Unknown,Yes,1
June,2005,Comunidad Foral de Navarra,Navarra,Partner,31-40 years,31-40 years,Unknown,Yes,1
July,2005,Aragón,Zaragoza,Partner,65-74 years,65-74 years,Unknown,Yes,1
July,2005,Cataluña,Girona,Partner,51-64 years,Unknown,Unknown,Yes,1
July,2005,Comunidad de Madrid,Madrid,Ex-partner,31-40 years,21-30 years,Unknown,No,1
July,2005,Comunidad de Madrid,Madrid,Partner,31-40 years,31-40 years,Unknown,Yes,1
August,2005,Principado de Asturias,Asturias,Partner,21-30 years,21-30 years,Unknown,No,1
August,2005,Islas Baleares,Islas Baleares,Partner,41-50 years,31-40 years,Unknown,Yes,1
August,2005,Islas Baleares,Islas Baleares,Partner,41-50 years,41-50 years,Unknown,Yes,1
August,2005,Castilla y León,León,Partner,31-40 years,41-50 years,Unknown,Yes,1
August,2005,Comunidad Valenciana,Alicante,Partner,Unknown,Unknown,Unknown,Yes,1
August,2005,Comunidad Valenciana,Valencia,Partner,21-30 years,21-30 years,Unknown,No,1
September,2005,Andalucía,Almería,Partner,18-20 years,Unknown,Unknown,No,1
September,2005,Andalucía,Sevilla,Partner,75-84 years,75-84 years,Unknown,Yes,1
September,2005,Canarias,Las Palmas,Ex-partner,31-40 years,41-50 years,Unknown,No,1
September,2005,Castilla y León,Ávila,Partner,16-17 years,31-40 years,Unknown,No,1
October,2005,Canarias,Las Palmas,Ex-partner,18-20 years,21-30 years,Unknown,No,1
October,2005,Cataluña,Lleida,Ex-partner,41-50 years,51-64 years,Unknown,No,1
October,2005,Cataluña,Tarragona,Ex-partner,41-50 years,41-50 years,Unknown,No,1
October,2005,País Vasco,Vizcaya,Ex-partner,21-30 years,21-30 years,Unknown,No,1
October,2005,País Vasco,Vizcaya,Partner,31-40 years,41-50 years,Unknown,Yes,1
November,2005,Aragón,Zaragoza,Partner,75-84 years,Unknown,Unknown,Yes,1
November,2005,Canarias,Las Palmas,Partner,41-50 years,41-50 years,Unknown,Yes,1
November,2005,Cataluña,Girona,Ex-partner,21-30 years,Unknown,Unknown,No,1
November,2005,Cataluña,Tarragona,Partner,41-50 years,Unknown,Unknown,Yes,1
November,2005,Comunidad Valenciana,Alicante,Partner,31-40 years,41-50 years,Unknown,Yes,1
November,2005,Galicia,Pontevedra,Partner,75-84 years,65-74 years,Unknown,Yes,1
December,2005,Andalucía,Málaga,Partner,31-40 years,Unknown,Unknown,Yes,1
December,2005,Andalucía,Sevilla,Partner,18-20 years,21-30 years,Unknown,Yes,1
December,2005,Melilla,Melilla,Partner,31-40 years,41-50 years,Unknown,Yes,1
January,2006,Andalucía,Cádiz,Partner,41-50 years,31-40 years,No,Yes,1
January,2006,Andalucía,Granada,Ex-partner,31-40 years,41-50 years,Yes,No,1
January,2006,Andalucía,Málaga,Ex-partner,21-30 years,Unknown,No,No,1
January,2006,Andalucía,Málaga,Partner,31-40 years,41-50 years,Yes,Yes,1
January,2006,Aragón,Zaragoza,Ex-partner,31-40 years,31-40 years,No,No,1
January,2006,Islas Baleares,Islas Baleares,Ex-partner,21-30 years,41-50 years,No,No,1
January,2006,Comunidad de Madrid,Madrid,Partner,31-40 years,31-40 years,No,Yes,1
January,2006,Región de Murcia,Murcia,Ex-partner,21-30 years,21-30 years,Yes,No,1
January,2006,País Vasco,Guipúzcoa,Partner,31-40 years,31-40 years,Yes,Yes,1
February,2006,Andalucía,Sevilla,Partner,31-40 years,31-40 years,No,Yes,1
February,2006,Cataluña,Barcelona,Ex-partner,21-30 years,18-20 years,No,No,1
February,2006,Cataluña,Lleida,Partner,51-64 years,31-40 years,No,Yes,1
February,2006,Comunidad de Madrid,Madrid,Partner,31-40 years,31-40 years,Yes,Yes,1
March,2006,Principado de Asturias,Asturias,Partner,21-30 years,31-40 years,Yes,Yes,1
March,2006,Castilla y León,Valladolid,Ex-partner,41-50 years,Unknown,No,No,1
March,2006,Castilla - La Mancha,Cuenca,Partner,65-74 years,65-74 years,No,Yes,1
March,2006,Cataluña,Barcelona,Ex-partner,31-40 years,31-40 years,No,No,1
March,2006,Cataluña,Lleida,Partner,31-40 years,31-40 years,Yes,Yes,1
March,2006,Comunidad Valenciana,Alicante,Partner,31-40 years,31-40 years,Yes,Yes,1
March,2006,Comunidad Valenciana,Valencia,Partner,31-40 years,31-40 years,Yes,Yes,1
March,2006,Comunidad de Madrid,Madrid,Partner,65-74 years,65-74 years,Yes,Yes,1
March,2006,Región de Murcia,Murcia,Partner,51-64 years,65-74 years,No,Yes,1
April,2006,Andalucía,Almería,Ex-partner,31-40 years,31-40 years,No,No,1
April,2006,Andalucía,Málaga,Partner,65-74 years,Unknown,No,Yes,1
April,2006,Canarias,Las Palmas,Partner,65-74 years,>85 years,No,Yes,1
April,2006,Castilla y León,Burgos,Partner,31-40 years,31-40 years,No,No,1
April,2006,Comunidad Valenciana,Alicante,Partner,41-50 years,51-64 years,No,Yes,1
May,2006,Canarias,Las Palmas,Ex-partner,41-50 years,51-64 years,Yes,No,1
May,2006,Cataluña,Barcelona,Partner,31-40 years,31-40 years,Yes,Yes,1
May,2006,Extremadura,Cáceres,Ex-partner,31-40 years,21-30 years,No,No,1
May,2006,Comunidad de Madrid,Madrid,Partner,31-40 years,51-64 years,No,Yes,1
May,2006,País Vasco,Vizcaya,Partner,31-40 years,31-40 years,No,Yes,1
June,2006,Andalucía,Córdoba,Ex-partner,31-40 years,Unknown,Yes,No,1
June,2006,Región de Murcia,Murcia,Partner,65-74 years,65-74 years,No,Yes,1
July,2006,Andalucía,Almería,Partner,41-50 years,41-50 years,No,Yes,1
July,2006,Principado de Asturias,Asturias,Ex-partner,21-30 years,41-50 years,No,No,1
July,2006,Islas Baleares,Islas Baleares,Partner,51-64 years,65-74 years,No,Yes,1
July,2006,Castilla y León,Ávila,Partner,21-30 years,Unknown,No,No,1
July,2006,Castilla - La Mancha,Ciudad Real,Partner,31-40 years,41-50 years,No,Yes,1
July,2006,Comunidad Valenciana,Valencia,Partner,65-74 years,75-84 years,No,Yes,1
July,2006,Comunidad de Madrid,Madrid,Ex-partner,18-20 years,21-30 years,Yes,No,1
July,2006,País Vasco,Vizcaya,Partner,21-30 years,21-30 years,No,Yes,1
August,2006,Andalucía,Granada,Partner,41-50 years,31-40 years,No,Yes,1
August,2006,Andalucía,Jaén,Ex-partner,18-20 years,18-20 years,No,No,1
August,2006,Andalucía,Sevilla,Partner,51-64 years,51-64 years,Yes,Yes,1
August,2006,Canarias,Las Palmas,Partner,31-40 years,31-40 years,No,Yes,1
August,2006,Castilla - La Mancha,Ciudad Real,Partner,21-30 years,21-30 years,No,Yes,1
August,2006,Castilla - La Mancha,Ciudad Real,Partner,21-30 years,21-30 years,Yes,Yes,1
August,2006,Cataluña,Barcelona,Ex-partner,31-40 years,21-30 years,No,No,1
August,2006,Cataluña,Barcelona,Partner,31-40 years,31-40 years,No,Yes,1
August,2006,Cataluña,Girona,Partner,31-40 years,31-40 years,No,Yes,1
September,2006,Andalucía,Almería,Partner,31-40 years,41-50 years,Yes,Yes,1
September,2006,Andalucía,Córdoba,Partner,16-17 years,21-30 years,No,No,1
September,2006,Andalucía,Granada,Partner,41-50 years,41-50 years,No,Yes,1
September,2006,Andalucía,Granada,Partner,75-84 years,75-84 years,No,Yes,1
October,2006,Andalucía,Granada,Partner,31-40 years,41-50 years,No,Yes,1
October,2006,Andalucía,Jaén,Partner,21-30 years,31-40 years,No,No,1
October,2006,Islas Baleares,Islas Baleares,Partner,21-30 years,41-50 years,Yes,No,1
October,2006,Cataluña,Girona,Partner,21-30 years,31-40 years,No,Yes,1
October,2006,Comunidad Valenciana,Alicante,Partner,65-74 years,75-84 years,No,Yes,1
October,2006,Comunidad Valenciana,Castellón,Partner,31-40 years,21-30 years,No,Yes,1
November,2006,Andalucía,Sevilla,Ex-partner,41-50 years,41-50 years,Yes,No,1
November,2006,Comunidad Valenciana,Castellón,Partner,75-84 years,>85 years,No,Yes,1
December,2006,Andalucía,Jaén,Partner,21-30 years,18-20 years,No,Yes,1
December,2006,Andalucía,Málaga,Partner,41-50 years,41-50 years,Yes,Yes,1
December,2006,Principado de Asturias,Asturias,Partner,75-84 years,>85 years,No,Yes,1
December,2006,Canarias,Santa Cruz de Tenerife,Partner,21-30 years,31-40 years,No,No,1
December,2006,Cataluña,Barcelona,Partner,31-40 years,21-30 years,Yes,Yes,1
December,2006,Comunidad Valenciana,Valencia,Ex-partner,51-64 years,51-64 years,Yes,No,1
January,2007,Islas Baleares,Islas Baleares,Partner,31-40 years,31-40 years,Yes,Yes,1
January,2007,Castilla y León,Soria,Ex-partner,31-40 years,41-50 years,No,No,1
January,2007,Castilla - La Mancha,Ciudad Real,Ex-partner,31-40 years,41-50 years,No,No,1
January,2007,Cataluña,Lleida,Ex-partner,31-40 years,41-50 years,No,No,1
January,2007,Comunidad de Madrid,Madrid,Partner,41-50 years,31-40 years,No,Yes,1
February,2007,Andalucía,Sevilla,Partner,31-40 years,31-40 years,Yes,No,1
February,2007,Principado de Asturias,Asturias,Partner,65-74 years,65-74 years,No,Yes,1
February,2007,Cataluña,Barcelona,Partner,51-64 years,51-64 years,No,Yes,1
February,2007,Comunidad Valenciana,Alicante,Ex-partner,31-40 years,31-40 years,Yes,No,1
February,2007,Galicia,A Coruña,Partner,75-84 years,75-84 years,No,Yes,1
February,2007,Galicia,Pontevedra,Partner,21-30 years,21-30 years,No,Yes,1
February,2007,Galicia,Pontevedra,Partner,41-50 years,41-50 years,No,Yes,1
February,2007,Comunidad de Madrid,Madrid,Partner,21-30 years,21-30 years,No,Yes,1
February,2007,Comunidad de Madrid,Madrid,Partner,31-40 years,31-40 years,Yes,No,1
March,2007,Cataluña,Girona,Partner,41-50 years,41-50 years,No,No,1
March,2007,Comunidad Valenciana,Alicante,Ex-partner,21-30 years,21-30 years,Yes,No,1
March,2007,Comunidad Valenciana,Castellón,Partner,31-40 years,41-50 years,Yes,Yes,1
March,2007,País Vasco,Vizcaya,Partner,65-74 years,75-84 years,No,Yes,1
April,2007,Cataluña,Tarragona,Partner,31-40 years,41-50 years,No,Yes,1
April,2007,Comunidad de Madrid,Madrid,Ex-partner,21-30 years,31-40 years,Yes,No,1
April,2007,Comunidad de Madrid,Madrid,Partner,21-30 years,31-40 years,No,No,1
April,2007,Comunidad Foral de Navarra,Navarra,Partner,21-30 years,21-30 years,No,Yes,1
May,2007,Andalucía,Almería,Partner,21-30 years,21-30 years,No,Yes,1
May,2007,Andalucía,Jaén,Partner,41-50 years,41-50 years,No,Yes,1
May,2007,Andalucía,Sevilla,Partner,75-84 years,75-84 years,No,Yes,1
May,2007,Canarias,Santa Cruz de Tenerife,Partner,21-30 years,21-30 years,No,Yes,1
May,2007,Cantabria,Cantabria,Partner,41-50 years,31-40 years,No,Yes,1
May,2007,Castilla - La Mancha,Ciudad Real,Partner,21-30 years,31-40 years,No,Yes,1
May,2007,Comunidad Valenciana,Valencia,Ex-partner,18-20 years,21-30 years,No,No,1
June,2007,Principado de Asturias,Asturias,Partner,21-30 years,31-40 years,No,No,1
June,2007,Canarias,Santa Cruz de Tenerife,Partner,65-74 years,65-74 years,No,Yes,1
June,2007,Canarias,Santa Cruz de Tenerife,Partner,75-84 years,65-74 years,Yes,Yes,1
June,2007,Castilla - La Mancha,Albacete,Ex-partner,51-64 years,51-64 years,No,No,1
June,2007,Castilla - La Mancha,Toledo,Partner,21-30 years,21-30 years,Yes,Yes,1
June,2007,Comunidad Valenciana,Alicante,Ex-partner,41-50 years,31-40 years,Yes,No,1
June,2007,Comunidad Valenciana,Alicante,Ex-partner,41-50 years,41-50 years,Yes,No,1
June,2007,Galicia,A Coruña,Partner,65-74 years,65-74 years,No,Yes,1
June,2007,Región de Murcia,Murcia,Partner,41-50 years,31-40 years,Yes,Yes,1
June,2007,País Vasco,Álava,Partner,31-40 years,41-50 years,Yes,Yes,1
July,2007,Castilla y León,Segovia,Partner,41-50 years,51-64 years,No,Yes,1
July,2007,Castilla - La Mancha,Toledo,Partner,21-30 years,31-40 years,Yes,Yes,1
July,2007,Cataluña,Barcelona,Partner,41-50 years,51-64 years,No,Yes,1
July,2007,Cataluña,Barcelona,Partner,75-84 years,65-74 years,No,Yes,1
July,2007,Comunidad Valenciana,Castellón,Partner,41-50 years,51-64 years,No,Yes,1
July,2007,Comunidad de Madrid,Madrid,Partner,31-40 years,31-40 years,Yes,Yes,1
July,2007,Región de Murcia,Murcia,Partner,31-40 years,21-30 years,Yes,Yes,1
July,2007,Melilla,Melilla,Partner,41-50 years,65-74 years,Yes,Yes,1
August,2007,Andalucía,Huelva,Partner,51-64 years,65-74 years,No,Yes,1
August,2007,Canarias,Santa Cruz de Tenerife,Partner,51-64 years,51-64 years,No,Yes,1
August,2007,Canarias,Santa Cruz de Tenerife,Partner,65-74 years,41-50 years,No,Yes,1
August,2007,Cataluña,Tarragona,Partner,21-30 years,21-30 years,No,Yes,1
August,2007,Comunidad Valenciana,Alicante,Partner,41-50 years,41-50 years,No,Yes,1
August,2007,Comunidad Valenciana,Valencia,Partner,18-20 years,21-30 years,Yes,Yes,1
August,2007,Comunidad de Madrid,Madrid,Ex-partner,21-30 years,31-40 years,No,No,1
September,2007,Aragón,Teruel,Partner,51-64 years,51-64 years,No,Yes,1
September,2007,Aragón,Zaragoza,Partner,51-64 years,65-74 years,No,Yes,1
September,2007,Cataluña,Barcelona,Partner,21-30 years,21-30 years,No,Yes,1
September,2007,Cataluña,Tarragona,Partner,51-64 years,51-64 years,No,No,1
October,2007,Andalucía,Córdoba,Ex-partner,31-40 years,31-40 years,No,No,1
October,2007,Andalucía,Málaga,Partner,21-30 years,21-30 years,No,No,1
October,2007,Andalucía,Sevilla,Ex-partner,31-40 years,31-40 years,No,No,1
October,2007,Castilla y León,Valladolid,Partner,51-64 years,51-64 years,No,Yes,1
October,2007,Comunidad de Madrid,Madrid,Partner,41-50 years,41-50 years,No,Yes,1
November,2007,Canarias,Las Palmas,Ex-partner,31-40 years,31-40 years,No,No,1
November,2007,Cantabria,Cantabria,Partner,75-84 years,75-84 years,Yes,Yes,1
November,2007,Cataluña,Barcelona,Partner,21-30 years,41-50 years,Yes,Yes,1
November,2007,Cataluña,Girona,Partner,65-74 years,65-74 years,No,Yes,1
November,2007,Cataluña,Tarragona,Partner,51-64 years,41-50 years,No,No,1
November,2007,Comunidad Valenciana,Alicante,Ex-partner,21-30 years,21-30 years,Yes,No,1
November,2007,Comunidad de Madrid,Madrid,Partner,21-30 years,21-30 years,No,Yes,1
December,2007,Galicia,Pontevedra,Ex-partner,41-50 years,31-40 years,No,No,1
January,2008,Andalucía,Málaga,Partner,41-50 years,51-64 years,No,Yes,1
January,2008,Comunidad Valenciana,Alicante,Partner,21-30 years,21-30 years,No,Yes,1
January,2008,Galicia,Pontevedra,Partner,51-64 years,65-74 years,No,Yes,1
January,2008,Comunidad de Madrid,Madrid,Partner,21-30 years,21-30 years,No,Yes,1
