Month,Year,Autonomous Community,Province,Relation,Victim Age,Agressor Age,Previous Abuse Report,Living Together,Victims
June,2013,Andalucía,Córdoba,Partner,75-84 years,75-84 years,No,Yes,1
July,2013,Andalucía,Granada,Ex-partner,21-30 years,31-40 years,No,No,1
July,2013,Canarias,Las Palmas,Partner,31-40 years,21-30 years,No,No,1
August,2013,Principado de Asturias,Asturias,Partner,75-84 years,>85 years,No,Yes,1
August,2013,Extremadura,Badajoz,Partner,65-74 years,75-84 years,Yes,No,1
September,2013,Andalucía,Málaga,Ex-partner,21-30 years,31-40 years,No,No,1
September,2013,Castilla y León,León,Partner,21-30 years,21-30 years,No,Yes,1
September,2013,Castilla y León,Palencia,Partner,41-50 years,41-50 years,No,No,1
September,2013,Castilla - La Mancha,Guadalajara,Partner,31-40 years,31-40 years,No,Yes,1
September,2013,Comunidad Valenciana,Valencia,Partner,41-50 years,41-50 years,No,Yes,1
September,2013,Galicia,Ourense,Ex-partner,51-64 years,65-74 years,Yes,No,1
September,2013,Comunidad de Madrid,Madrid,Partner,31-40 years,41-50 years,No,Yes,1
September,2013,Comunidad de Madrid,Madrid,Partner,41-50 years,31-40 years,No,Yes,1
October,2013,Andalucía,Almería,Ex-partner,21-30 years,31-40 years,No,No,1
October,2013,Cataluña,Lleida,Ex-partner,<16 years,18-20 years,No,No,1
October,2013,Comunidad Valenciana,Alicante,Partner,21-30 years,31-40 years,No,Yes,1
October,2013,Comunidad Valenciana,Castellón,Partner,51-64 years,51-64 years,No,Yes,1
October,2013,Comunidad Valenciana,Valencia,Partner,41-50 years,41-50 years,Yes,Yes,1
November,2013,Andalucía,Málaga,Ex-partner,31-40 years,41-50 years,Yes,No,1
November,2013,Andalucía,Málaga,Ex-partner,65-74 years,65-74 years,No,No,1
November,2013,Castilla - La Mancha,Cuenca,Partner,31-40 years,41-50 years,No,Yes,1
November,2013,Comunidad Valenciana,Valencia,Ex-partner,21-30 years,31-40 years,No,No,1
November,2013,Comunidad de Madrid,Madrid,Ex-partner,41-50 years,31-40 years,Yes,No,1
